Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS 01,Chrome 126.0.0.0,,,06-07-2024 10:17:34,06-07-2024 10:17:38,4.898s,PASSED
,,,,,,,
Test Cases/WEB/TC01,Chrome 126.0.0.0,,,06-07-2024 10:17:34,06-07-2024 10:17:38,4.734s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,06-07-2024 10:17:34,06-07-2024 10:17:36,1.762s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,06-07-2024 10:17:36,06-07-2024 10:17:38,2.592s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,06-07-2024 10:17:38,06-07-2024 10:17:38,0.167s,PASSED
