Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS 01,Chrome 126.0.0.0,,,06-07-2024 10:16:31,06-07-2024 10:16:36,5.060s,PASSED
,,,,,,,
Test Cases/WEB/TC01,Chrome 126.0.0.0,,,06-07-2024 10:16:31,06-07-2024 10:16:36,4.876s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,06-07-2024 10:16:32,06-07-2024 10:16:33,1.784s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,06-07-2024 10:16:33,06-07-2024 10:16:36,2.683s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,06-07-2024 10:16:36,06-07-2024 10:16:36,0.201s,PASSED
