Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS 01,Chrome 126.0.0.0,,,06-07-2024 10:16:18,06-07-2024 10:16:23,5.337s,PASSED
,,,,,,,
Test Cases/WEB/TC01,Chrome 126.0.0.0,,,06-07-2024 10:16:18,06-07-2024 10:16:23,5.134s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,06-07-2024 10:16:18,06-07-2024 10:16:20,1.972s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,06-07-2024 10:16:20,06-07-2024 10:16:23,2.700s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,06-07-2024 10:16:23,06-07-2024 10:16:23,0.136s,PASSED
