Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS 01,Chrome 126.0.0.0,,,06-07-2024 10:17:21,06-07-2024 10:17:26,5.009s,PASSED
,,,,,,,
Test Cases/WEB/TC01,Chrome 126.0.0.0,,,06-07-2024 10:17:21,06-07-2024 10:17:26,4.854s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,06-07-2024 10:17:21,06-07-2024 10:17:23,1.837s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,06-07-2024 10:17:23,06-07-2024 10:17:25,2.706s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,06-07-2024 10:17:25,06-07-2024 10:17:26,0.125s,PASSED
